;;;
0;email;customer_id;customer_id
1;Ruth.fischer@datam.de;1001;1001
2;F.Mayer@datam.de;1002;1002
3;Lotte.Meier@datam.de;1003;1003
4;greteg.günther@dorfner.com;1004;1004
5;Ewald.Krause@dorfner.com;1005;1005
6;Luise@dorfner.com;1006;1006
7;Louis.Schulze@dorfner.com;1007;1007
8;Beate.Hahn@aalab.de;1008;1008
9;Johanna.Schneider@gmail.com;2009;2009
10;Olivia.Schubert@refra.com;20010;20010
11;Matthew.Wood@md-elektronik.de;20011;20011
12;Nathan.Cook@md-elektronik.de;20012;20012
13;Jessica.Morgan@md-elektronik.de;20013;20013
14;Amelia.James@md-elektronik.de;20014;20014
15;Kevin.Scott@md-elektronik.de;20015;20015
16;Gregory.davies@md-elektronik.de;20016;20016
17;Helen.Brown@reinhausen.com;20017;20017
18;Grace.Phillips@reinhausen.com;20018;20018
19;Donna.Miller@pass-consulting.com;20019;20019
20;Brian.James@venture-lab.de;20020;20020
21;Jan.Braun@venture-lab.de;20021;20021
22;Wolff@venture-lab.de;20022;20022
23;Henri.Heinrich@venture-lab.de;20023;20023
24;Ben.Schmid@oth-regensburg.de;20024;20024
25;Filipp.Pfeiffer@oth-regensburg.de;20025;20025
